Model;Approach;Repetition;Resets;stepsUntilLastReset;lastCandidatePrint

nand.pm(N=50,K=3);cautious1;9;5;7010;Resets: 5 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;49;0;0;init
nand.pm(N=50,K=3);cautious1;50;1;1402;Resets: 1 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;48;1;1402;Resets: 1 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;51;0;0;init
nand.pm(N=50,K=3);cautious1;53;5;7010;Resets: 5 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;52;5;7010;Resets: 5 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;54;13;18226;Resets: 13 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;55;7;9814;Resets: 7 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;56;5;7010;Resets: 5 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);bold01;7;0;0;init
nand.pm(N=50,K=3);cautious1;57;7;9814;Resets: 7 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;58;11;15422;Resets: 11 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;59;5;7010;Resets: 5 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;60;7;9814;Resets: 7 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;61;0;0;init
nand.pm(N=50,K=3);cautious1;62;2;2804;Resets: 2 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;65;3;4206;Resets: 3 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;64;10;14020;Resets: 10 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;67;9;12618;Resets: 9 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;68;11;15422;Resets: 11 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;66;31;43462;Resets: 31 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;69;10;14020;Resets: 10 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;71;1;1402;Resets: 1 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;70;0;0;init
nand.pm(N=50,K=3);cautious1;72;13;18226;Resets: 13 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;27;3;4206;Resets: 3 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;73;5;7010;Resets: 5 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;74;16;22432;Resets: 16 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;75;18;25236;Resets: 18 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;76;9;12618;Resets: 9 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;77;2;2804;Resets: 2 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;79;1;1402;Resets: 1 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;78;0;0;init
nand.pm(N=50,K=3);cautious1;80;0;0;init
nand.pm(N=50,K=3);cautious1;83;4;5608;Resets: 4 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;82;4;5608;Resets: 4 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;85;0;0;init
nand.pm(N=50,K=3);cautious1;86;5;7010;Resets: 5 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;87;8;11216;Resets: 8 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;84;0;0;init
nand.pm(N=50,K=3);cautious1;88;7;9814;Resets: 7 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;89;4;5608;Resets: 4 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;90;6;8412;Resets: 6 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;91;10;14020;Resets: 10 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;92;8;11216;Resets: 8 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;93;14;19628;Resets: 14 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;94;15;21030;Resets: 15 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;45;9;12618;Resets: 9 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;95;10;14020;Resets: 10 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;96;5;7010;Resets: 5 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;97;4;5608;Resets: 4 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;98;4;5608;Resets: 4 visitNo: 1 candSize: 1

herman17_oneinit.pm();cautious1;1;TO;TO;Resets: 1616 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;0;TO;TO;Resets: 1516 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;3;TO;TO;Resets: 1549 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;4;TO;TO;Resets: 1493 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;5;TO;TO;Resets: 1653 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;2;TO;TO;Resets: 1623 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;6;TO;TO;Resets: 1560 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;7;TO;TO;Resets: 1559 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;8;TO;TO;Resets: 1531 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;9;TO;TO;Resets: 1587 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;10;TO;TO;Resets: 1595 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;11;TO;TO;Resets: 1625 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;12;TO;TO;Resets: 1604 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;13;TO;TO;Resets: 1634 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;14;TO;TO;Resets: 1641 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;15;TO;TO;Resets: 1534 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;16;TO;TO;Resets: 1701 visitNo: 1 candSize: 33

nand.pm(N=50,K=3);cautious1;63;1;1402;Resets: 1 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;81;8;11216;Resets: 8 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;99;3;4206;Resets: 3 visitNo: 1 candSize: 1

herman17_oneinit.pm();cautious1;17;TO;TO;Resets: 1055 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;19;TO;TO;Resets: 1589 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;18;TO;TO;Resets: 1627 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;21;TO;TO;Resets: 1630 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;22;TO;TO;Resets: 1633 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;23;TO;TO;Resets: 1541 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;20;TO;TO;Resets: 1501 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;24;TO;TO;Resets: 1530 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;25;TO;TO;Resets: 1559 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;26;TO;TO;Resets: 1635 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;27;TO;TO;Resets: 1622 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;28;TO;TO;Resets: 1653 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;29;TO;TO;Resets: 1519 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;30;TO;TO;Resets: 1585 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;31;TO;TO;Resets: 1530 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;32;TO;TO;Resets: 1660 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;33;TO;TO;Resets: 1604 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;34;TO;TO;Resets: 1617 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;35;TO;TO;Resets: 1050 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;37;TO;TO;Resets: 1609 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;36;TO;TO;Resets: 1508 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;39;TO;TO;Resets: 1609 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;40;TO;TO;Resets: 1598 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;41;TO;TO;Resets: 1627 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;38;TO;TO;Resets: 1606 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;42;TO;TO;Resets: 1536 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;43;TO;TO;Resets: 1711 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;44;TO;TO;Resets: 1625 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;45;TO;TO;Resets: 1653 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;46;TO;TO;Resets: 1601 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;47;TO;TO;Resets: 1656 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;48;TO;TO;Resets: 1580 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;49;TO;TO;Resets: 1651 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;50;TO;TO;Resets: 1737 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;51;TO;TO;Resets: 1605 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;52;TO;TO;Resets: 1562 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;53;TO;TO;Resets: 1024 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;55;TO;TO;Resets: 1647 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;54;TO;TO;Resets: 1652 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;57;TO;TO;Resets: 1475 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;58;TO;TO;Resets: 1663 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;59;TO;TO;Resets: 1593 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;56;TO;TO;Resets: 1627 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;60;TO;TO;Resets: 1690 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;61;TO;TO;Resets: 1619 visitNo: 1 candSize: 33

herman17_oneinit.pm();cautious1;62;TO;TO;Resets: 1696 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;63;TO;TO;Resets: 1671 visitNo: 1 candSize: 34

