"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold01-14.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.1,Resets 2 ;stepsInResetRuns 227
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold01-15.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.1,Resets 1 ;stepsInResetRuns 114
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold01-16.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.1,Resets 4 ;stepsInResetRuns 777
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold01-17.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.1,Resets 0 ;stepsInResetRuns 0
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold01-18.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.1,Resets 0 ;stepsInResetRuns 0
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold01-19.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.1,Resets 2 ;stepsInResetRuns 480
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold01-2.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.1,Resets 2 ;stepsInResetRuns 342
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold01-3.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.1,Resets 0 ;stepsInResetRuns 0
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold01-4.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.1,Resets 1 ;stepsInResetRuns 118
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold01-5.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.1,Resets 0 ;stepsInResetRuns 0
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold01-6.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.1,Resets 0 ;stepsInResetRuns 0
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold01-7.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.1,Resets 5 ;stepsInResetRuns 947
"logs/log-crowds_nodl.pm(TotalRuns=6,CrowdSize=15)-prop1_qual.pctl-bold01-8.log",crowds_nodl.pm,"'TotalRuns=6,CrowdSize=15'",,0.1,Resets 4 ;stepsInResetRuns 646
